Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2014;SPRINTS 500m;Gérardmer;SH8+;FA;2.0;01:19.48;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Mathieu SAUTEREAU;Benjamin LELIEVRE;Alexandre JAUNET;Luc-Mael KAMA;Guillaume RAINEAU;Mickael MARTEAU;Mathieu LE NEPVOU;Vincent FAUCHEUX;Maurice POTROS
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;3.0;01:19.74;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Zadig HOANG;Alexandre ROUVEAU;Romain VALETTE;Jean MAILLARD;Mathias MERIGUET;Mathis NOTTELET;Antonin LEPREVOST;Hugo DELFAU;Bilal HASSANI
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;1.0;01:19.88;Aviron Boulonnais;AVIRON BOULONNAIS;;;;Julien MAES;Alexandre PRUVOST;Benoit MACQUET;Benjamin DEGROOTE;Christophe CHARLEMAGNE;Guillaume BALLIN;Yvon MALARD;Benoit BRUNET;Christophe LATTAIGNANT
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;5.0;01:19.93;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Gregoire POURTIER;Mathieu REY;Louis RODRIGUEZ;Damien CREBASSA;Jean-Gabriel DUPEUX;Paul BOUGON;Benjamin LANG;Corentin AMET;Baptiste PALVADEAU
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;5.0;01:19.94;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Valentin GENESTE;Quentin LAURIOU;Anthony BIARD;Youri CHOFFART;Dimitri ROUSSEAUX;Quentin STENDER;Guillaume AMPE;Matthias BOUGEL;Roxane CHAUVIN
2014;SPRINTS 500m;Gérardmer;SH8+;FA;3.0;01:20.00;Aviron Boulonnais;AVIRON BOULONNAIS;;;;Alexandre PRUVOST;Quentin FLAHAUT;Benoit MACQUET;Benjamin DEGROOTE;Christophe CHARLEMAGNE;Guillaume BALLIN;Yvon MALARD;Benoit BRUNET;Kimberley GARRET
2014;SPRINTS 500m;Gérardmer;SH8+;FA;4.0;01:20.08;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Romain BOUTRON;Bastien RIPOLL;Damien CREBASSA;Charles LASCAUX;Yoann GUIGNET;Guillaume TURLAN;Jean-Gabriel DUPEUX;Benjamin LANG;Alexandre ROGE-PECH
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;4.0;01:20.08;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Romain HARAT;Jules CRESSON;Thierry DELORY;Mathieu LE NEPVOU;Luca PESCE;Luke EPAIN;Antoine GAILLAC;Pierre HUBERT;Agathe MAUPOUX
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;1.0;01:20.15;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Antoine LANTAZ;Damien PIQUERAS;Miickael CHULLIAT;Julien ROBINET;Benoit DEMEY;William CHOPY;Fabien TILLIET;Thomas KIMMEL;Ambre MOTA
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;6.0;01:20.27;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Jean-Simon CARRIVAIN-PIC;Miklos ANGYAN;Paul ROUCH;Jan ZEMAN;Nicolas CHPILEVSKY;Antoine GAILLAC;Armand DORISE;Guillaume DOUMERG;Loic PONSOLLE
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;6.0;01:20.31;Aviron Bayonnais;AVIRON BAYONNAIS;;;;William CAZALE;Florent ROMAT;Benoit MARTINAUD;Jonathan BERTRAND;Maxime BELLON;Julien MONTET;Romain TRAILLE;Julien DESPRES;Deborah BOBE
2016;SPRINTS 500m;Gérardmer;SH8+;FA;1.0;01:20.34;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Julien THEVENET;Adrien MATHIAS;Benoit BARATIN;Raphael ANDRE;Vincent MARTIN;Stephan LUMB;Romain REPPELIN;Damien MARTIN;Elisa MARTIN
2018;SPRINTS 500m;Vichy;SH8+;FA;2.0;01:20.35;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Mathieu GAUVRIT;Quentin BOURCEREAU;William CAZALE;Aymeric FOUQUART;Romain GARCIA;Julien MONTET;Tristan LAUTRETTE;Adrien DELOS;Maeva DEYRES
2024;SPRINTS 500m;Vichy;SH8+;FA;1.0;01:20.62;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Romain VALETTE;Allan HUYGHE;Charles DERANCOURT;Mathis NOTTELET;Antonin LEPREVOST;Jean MAILLARD;Pierre D'AGATA;Hugo DELFAU;Bilal HASSANI
2018;SPRINTS 500m;Vichy;SH8+;FA;3.0;01:20.71;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Valentin ONFROY;Thibaut VERHOEVEN;Germain CHARDIN;Benjamin RONDEAU;Matthieu MOINAUX;Leo CASAGRANDE;Arnaud PERIDONT;Charly LECLAIRE;Louise BOLMONT
2019;SPRINTS 500m;Gérardmer;SH8+;FA;2.0;01:20.72;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;David Dulac;Stany Delayre;Quentin Lauriou;Guillaume Ampe;Teo Rayet;Nicolas Stender;Quentin Stender;Hadrien Gode;Louis Crespy
2014;SPRINTS 500m;Gérardmer;SH4x;FA;1.0;01:20.73;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Hugo BOUCHERON;Benoit BARATIN;Alexis CHATEAU;Pascal PEYCLIT;;;;;
2014;SPRINTS 500m;Gérardmer;SH4x;FA;2.0;01:20.82;Societe Nautique de Condrieu;SOCIETE NAUTIQUE DE CONDRIEU;;;;Leo GARNIER-AMOUROUX;Thomas BELIN;Thibault REMY;Damien GALLET;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;1.0;01:20.91;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Alberic CORMERAIS;Antoine NOUGAREDE;Benoit BARATIN;Romain REPPELIN;Vincent MARTIN;Raphael ANDRE;Pierre Emmanuel LEVEQUE;Romain CHEREL;Alexandra BOISTARD
2025;SPRINTS 500m;Libourne;SH8+;FA;1.0;01:20.92;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Baptiste LEBEL;Pierre MINNITI;Teva JEANDIDIER;Benjamin HAGUENAUER;Gabriel BOBILLIER;Jules BEL MOUCHARD;Bayard BERTHOU;Thomas FOUGEROUSE;Jules AUBRIOT
2014;SPRINTS 500m;Gérardmer;SH8+;FB;1.0;01:20.94;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Simon DEHOVE;Matthieu MOINAUX;Pierre GUERIN;Thibaut VERHOEVEN;Adrien CESARONI  MARAS;Clement PETITJEAN;Jeremie DOUCET;Florian AUBRY;Louise BOLMONT
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;1.0;01:21.00;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Dimitri LIMOUSIN;Mathis NOTTELET;Jean MAILLARD;Julien PELLEGRINO;Julien DIDEY;Antonin LEPREVOST;Hugo DELFAU;Thomas CASCARRE;Zadig HOANG
2025;SPRINTS 500m;Libourne;SH8+;FA;2.0;01:21.01;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Charles DERANCOURT;Allan HUYGHE;Samuel DE GROOT;Mathis NOTTELET;Mathias MERIGUET;Jean MAILLARD;Pierre D'AGATA;Emmanuel MATHIEU;Bilal HASSANI
2024;SPRINTS 500m;Vichy;SH8+;FA;2.0;01:21.02;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Adrien MATHIAS;Alberic CORMERAIS;Pierre Emmanuel LEVEQUE;Romain REPPELIN;Raphael ANDRE;Vincent MARTIN;Damien MARTIN;Charles DONOT;Alexandra BOISTARD
2019;SPRINTS 500m;Gérardmer;SH8+;FA;3.0;01:21.04;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Mathieu Gauvrit;Quentin Bourcereau;William Cazale;Guillaume Lescoulier;Romuald Thomas;Romain Garcia;Tristan Lautrette;Adrien Delos;Xabi Lassoued
2021;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;1.0;01:21.04;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Alberic CORMERAIS;Antoine NOUGAREDE;Alexis GUERINOT;Romain REPPELIN;Benoit BARATIN;Raphael ANDRE;Jordan LEQUY;Romain CHEREL;Maeva WAGNER
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;1.0;01:21.13;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Guillaume ROCHET;Maxence VOLAY;Davy PHILIBERT;Marc-Antoine BONNET;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;2.0;01:21.14;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Alexandre JAUNET;Hugo QUEMENER;Morvan NOZAHIC;Romain VINCE;;;;;
2025;SPRINTS 500m;Libourne;SH8+;FA;3.0;01:21.15;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Constant RYNGAERT;Paul TIXIER;Clement GONZALES;Baptiste POINTURIER;Nicolas STENDER;Nathan GIVORT;Enzo DOUSSOT;Hugo DOUSSOT;Charline RENAUD
2014;SPRINTS 500m;Gérardmer;SH4-;FA;1.0;01:21.22;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Edouard JONVILLE;Clement ROULET DUBONNET;Pierre D'AGATA;Francois MARTY;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;2.0;01:21.24;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Florentin AINAGA;Maxence OUVRY;Charles COQUET;Simon MOKA;Tony LETOURNEL;Geoffroy BOURDEU;Jean-Baptiste MACQUET;Dorian MORTELETTE;Valentin OUVRY
2019;SPRINTS 500m;Gérardmer;SH8+;FA;4.0;01:21.26;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Jordan Lequy;Antoine Nougarede;Benoit Baratin;Timothée Guerinot;Vincent Martin;Raphael Andre;Romain Reppelin;Romain Cherel;Maeva Wagner
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FC;2.0;01:21.35;Cercle Nautique de France;CERCLE NAUTIQUE DE FRANCE;;;;Alexandre DIONIS;Stephane MESNARD;Gabriel ALARDET;Cedric MOUSNIER;Alberic CORMERAIS;Joseph KERMANI;Felix CLEMENT;Thomas POZZO DI BORGO;Caroline VAREE
2018;SPRINTS 500m;Vichy;SH8+;FB;1.0;01:21.40;Aviron Meulan-les-Mureaux-Hardricourt;AVIRON MEULAN LES MUREAUX HARDRICOURT;;;;Quentin ETIENNE;Serguey FARRE;Ronan PERRAUD;Antoine LEFEBVRE;Hugo MOSSINO;Richard SILVESTRE;Valentin LABORDE;Ivan BOVE;Mailys PERONNET
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;1.0;01:21.45;Societe Nautique de Condrieu;SOCIETE NAUTIQUE DE CONDRIEU;;;;Damien GALLET;Thibault REMY;Thomas BELIN;Leo GARNIER-AMOUROUX;;;;;
2015;SPRINTS 500m;Mâcon;SH8+;FA;1.0;01:21.45;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Jeremy DAMET;Adrien MATHIAS;Benoit BARATIN;Hugo BOUCHERON;Vincent MARTIN;Stephan LUMB;Damien MARTIN;Raphael ANDRE;Elisa MARTIN
2024;SPRINTS 500m;Vichy;SH8+;FA;3.0;01:21.46;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Constant RYNGAERT;Paul TIXIER;Baptiste POINTURIER;Clement GONZALES;Nicolas STENDER;Nathan GIVORT;Enzo DOUSSOT;Hugo DOUSSOT;Charline RENAUD
2014;SPRINTS 500m;Gérardmer;SH8+;FA;5.0;01:21.52;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Louis-Pierre DE VAUGELAS;Bruno CHOFFART;Matthias BOUGEL;Quentin LAURIOU;Youri CHOFFART;Guillaume AMPE;Quentin STENDER;Louis DESPRES;Roxane CHAUVIN
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;3.0;01:21.58;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Bruno LUCAS;Antoine LAGOUGE;Tristan GAUDEFROY;Baptiste MARON;Hugo DUPETY;Ismael BOURENNANE;Etienne AUGUSTIN;Julien CRESSON;Joffrey TOUCHARD
2023;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;2.0;01:21.60;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Adrien DELOS;Tristan LAUTRETTE;Romain GARCIA;Julien MONTET;Louis CABANTOUS;Hugo DUPETY;William CAZALE;Guillaume LESCOULIER;Maeva DEYRES
2014;SPRINTS 500m;Gérardmer;SH8+;FB;2.0;01:21.63;Cercle Nautique de France;CERCLE NAUTIQUE DE FRANCE;;;;Cedric MOUSNIER;Alexandre JASINSKI;Stephane MESNARD;Alberic CORMERAIS;Thomas POZZO DI BORGO;Auguste COLIN;Felix CLEMENT;Alexandre DIONIS;Solene BERNARD
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;5.0;01:21.66;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Guillaume CAS;Romain GARCIA;Tristan LAUTRETTE;Guillaume LAUTRETTE;Louis CABANTOUS;Guillaume LESCOULIER;Mathieu GAUVRIT;Quentin BOURCEREAU;Maeva DEYRES
2014;SPRINTS 500m;Gérardmer;SH4x;FA;3.0;01:21.73;Club Olympique Multisports d'Argenteuil;CLUB OLYMPIQUE MULTISPORTS D'ARGENTEUIL;;;;Remi DI GIROLAMO;Vincent LEVASSEUR;Ronan MATHIEU;Jimmy BEIGNON;;;;;
2024;SPRINTS 500m;Vichy;SH8+;FA;4.0;01:21.76;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Hugo KLIMACEK;Luke EPAIN;Luca PESCE;Romain HARAT;Hugo LECOT;Narcisse BONNETOT;Charles L'ALEXANDRE;Pierre HUBERT;Agathe MAUPOUX
2019;SPRINTS 500m;Gérardmer;SH8+;FA;5.0;01:21.81;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Renan Trezeguet;Mickael Guesnier;Julien Viandier;Valentin Berleux;Paul-Felix Bresson;Marc Brisson;Etienne Francois;Liam Brisson;Julien Deck
2016;SPRINTS 500m;Gérardmer;SM8+ 50%H/F;FA;1.0;01:21.83;Union Sportive de Toul Aviron;UNION SPORTIVE DE TOUL AVIRON;;;;Matthieu DEMANGE;Cecile DUBUISSON;Eugenie BERGHMANS;Isaline THIRIOT;Sandie WEBER;Benjamin THIERY;Jordan LEQUY;Arnaud PETITJEAN;Thomas PAQUIER
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FB;4.0;01:21.85;Societe Nautique de Caen et du Calvados;SOCIETE NAUTIQUE DE CAEN ET DU CALVADOS;;;;Romuald THOMAS;Thomas LORY;Matthieu CHAPRON;Privel HINKATI;Alexandre JASINSKI;Raphael JUGE;Renaud LEGRIGEOIS;Jeremy BRUNET;Romain PAIGNON
2018;SPRINTS 500m;Vichy;SH8+;FA;4.0;01:21.85;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Jean-Gabriel DUPEUX;Corentin AMET;Louis RODRIGUEZ;Lilian BELLINI;Yoann GUIGNET;Benjamin LANG;Romain BOUTRON;Nicolas CESTARI;Baptiste PALVADEAU
2014;SPRINTS 500m;Gérardmer;SH8+;FB;3.0;01:21.92;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Hugo DOUSSOT;Tristan SURGAND;Baptiste POINTURIER;Bastien BOURLOUX;Nicolas VALLET;Antoine NOUGAREDE;Beltran HIDALGO;Barthelemy AGOSTINI;Marc THORINEAU
2014;SPRINTS 500m;Gérardmer;SH4x;FA;4.0;01:21.96;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Fabien DUFOUR;Marc-Antoine BONNET;Davy PHILIBERT;Guillaume ROCHET;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;2.0;01:22.04;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Philippe MANGOT;Florent LEGAY;Thomas NOVICZKY;Matthieu MILLOT;;;;;
2025;SPRINTS 500m;Libourne;SH8+;FA;4.0;01:22.10;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Guillaume LESCOULIER;Romuald THOMAS;Hugo DUPETY;Louis CABANTOUS;Julien MONTET;Romain GARCIA;Julien DESPRES;Tristan LAUTRETTE;Maeva DEYRES
2016;SPRINTS 500m;Gérardmer;SH8+;FA;2.0;01:22.16;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Matthieu MOINAUX;Robinson DOUMIC;Leo CASAGRANDE;Benjamin RONDEAU;Mathieu MERLAND;Alexandre BARTHE;Thierry RICHARD;Sebastien RIETH;Louise BOLMONT
2018;SPRINTS 500m;Vichy;SH8+;FB;2.0;01:22.18;Aviron Tours Metropole;AVIRON TOURS METROPOLE;;;;Teophil LEMAITRE;Raphael GIRAULT;Valentin BERTON BOUVIER;Sacha BIGARRE;Benjamin GICQUEAU;Pierre SELLIER;David DENNEVAULT;Edwin DESUZINGE;Lola CLEDE GAUTIER
2014;SPRINTS 500m;Gérardmer;SH4-;FA;2.0;01:22.19;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Jeremy DAMET;Damien MARTIN;Julien THEVENET;Thomas LORY;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FB;1.0;01:22.19;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Benjamin LIVET;Corentin DOBRAL;Teva MELLIER;Pierre HUBERT;;;;;
2016;SPRINTS 500m;Gérardmer;SH8+;FA;3.0;01:22.21;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Benjamin RIPOLL;Anthony CHARBONNEAU;Romain BOUTRON;Ludovic FREROT;Yoann GUIGNET;Paul BOUGON;Jean-Gabriel DUPEUX;Damien CREBASSA;Camille MARTIN
2021;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;2.0;01:22.25;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Etienne JUILLET;Theophile ONFROY;Valentin ONFROY;Thibaut VERHOEVEN;Mathieu MERLAND;Leo CASAGRANDE;Nicolas VIGNOL;Charly LECLAIRE;Clara SCHULTE
2013;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;3.0;01:22.28;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Lionel BONDIER;Hugo BOUCHERON;Pascal PEYCLIT;Olivier FOUGEROUSE;;;;;
2018;SPRINTS 500m;Vichy;SH8+;FA;5.0;01:22.29;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Arnaud RAZAT;Anthony MARCHE;Thomas GOUZOU;Justin NADAUD;Damien BLOUDEAU;Romain LAROCHE;Ludovic SEUREAU;Alexandre FAUCHER;Lucie DAISSON
2017;SPRINTS 500m;Mantes-la-Jolie;SH4x;FA;3.0;01:22.29;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Nicolas DELAGE;Julien LAVAYSSIERE;Mathieu DUVIGNACQ;Stany DELAYRE;;;;;
2014;SPRINTS 500m;Gérardmer;SH8+;FA;6.0;01:22.37;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Robin ASSET;Basile CATTEAU;Nicolas CHPILEVSKY;Augustin ANDRE-HOFFMANN;Armand DORISE;Guillaume DOUMERG;Romain BEZ;Jerome DESCAZEAUX;Pascal NGUYEN
2016;SPRINTS 500m;Gérardmer;SH8+;FA;4.0;01:22.37;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Etienne BERNARD;Miklos ANGYAN;Robin ASSET;Jan ZEMAN;Nicolas CHPILEVSKY;Antoine GAILLAC;Armand DORISE;Guillaume DOUMERG;Charlotte POGGIALI
2014;SPRINTS 500m;Gérardmer;SH4-;FA;3.0;01:22.40;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Anthony MARCHE;Thomas GOUZOU;Romain LAROCHE;Ludovic SEUREAU;;;;;
2014;SPRINTS 500m;Gérardmer;SH4-;FA;4.0;01:22.50;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Melvyn RECOT;Marc FAYET;Maxence JANODET;Benjamin CHABANET;;;;;
2016;SPRINTS 500m;Gérardmer;SH8+;FA;5.0;01:22.54;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Nicolas BIRONNEAU;Herve MARCHAND;Julien DIDEY;Hugo DELFAU;Vincent DUSSAUGE;Dimitri LIMOUSIN;Antonin LEPREVOST;Matthieu CHAPRON;Antoine BILLAUD
2024;SPRINTS 500m;Vichy;SH8+;FA;5.0;01:22.56;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Tristan LAUTRETTE;Guillaume LESCOULIER;Romain GARCIA;Valentin COLSON;Louis CABANTOUS;Hugo DUPETY;William CAZALE;Quentin BOURCEREAU;Maeva DEYRES
2021;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;3.0;01:22.58;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Zacharya ABDELLAOUI;Damien MARTIN;Vincent MARTIN;Hugo MARTIN;Maxime ROUBI;Ismael BOURENNANE;Balthazar GUYOTAT;Pierre Emmanuel LEVEQUE;Alexandra BOISTARD
2019;SPRINTS 500m;Gérardmer;SH8+;FA;6.0;01:22.62;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Simon Villaume;Thibault Fotre;Louis Rodriguez;Gregoire Pourtier;Yoann Guignet;Lilian Bellini;Corentin Amet;Jean-Gabriel Dupeux;Emma Ribette
