Année;Lieux;Championnat;Code_Course;Distance;Finale;Position;Temps;Club1;Club2;Club3;Club4;Rameur1;Rameur2;Rameur3;Rameur4;Rameur5;Rameur6;Rameur7;Rameur8;Barreur
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;3.0;03:07.86;INSA Lyon;;;;Guillaume BRINGIER;Vincent BAILLY;Arthur CLAUDE;Florian COINTET;Johan TRINQUIE;Augustin MOUTERDE;Antoine NOUGAREDE;Adrien PYSKIR;Margaux AGOSTINI
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;4.0;03:12.71;HEC;;;;Loic CESSOT;Tanguy AUFFRET;Alexandre NIVEL;Antoine MAUGEST;Carl HOSSLER;Louis DE VULPIAN;David MUHLBERGER;Remi TAMALET;Paul BIZARD
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;5.0;03:14.51;Centrale;;;;Nicolas POULAILLON;Eliot NICOLAS;Pierre CASTAING;Tomothee SCHMUZT;Conrad SAGERT;Christophe BLOEMEKE;Paul DERMARKAR;Raphael MURRAY;Eleonor BOURGEOIS
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;6.0;03:15.15;ESCP Europe Paris;;;;Guillaume BARRAGE;Louis-Felix GENDREAU;Marc GERMAIN;Yohann GLAGLA;Adrien ISAAC;William RACINNE;Sviatoslav MYLYMUK-BEYSENS;Alban OUAHAB;Margaux POUX
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;1.0;03:20.97;ISAE SUP Aero Toulouse;;;;Fabien EVRARD;Vincent BODEN;Jean Baptiste COGER;Alexandre FOUSSE;Maxime ROUSSET;Bruno SAVARD;Francois CLEMENT;Jan-Christian MEYER;Caroline DIETRICH
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;2.0;03:23.40;ASU Nantes;;;;Edouard HUEBER;Jean-Bruno MOUGEL;Anthony LALOUA;Pierre PASQUET;Benjamin CORNUEL;Alexandre NOWICKI;Thomas CERTENAIS;Aymeric DE SEVEDAVY;Thibaut ARENE
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;3.0;03:25.19;E.N.S.EA.Cergy;;;;Benoit BENICOURT;Thomas BOUYER;Martin JOLY;Alexandre ACELDY;Francois BRIE;Nadjib MELLAK;Jean-Christophe BERTRAND;Paul VIDAL;Michael SALVADOR
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;4.0;03:29.93;Reims Management School;;;;Mederic PIERROT;Louis DESBOIS;Matthieu GUEUDET;Simon THEVENET;Rodrigue PINSON;Eliott DUCLOU;Damien PERPETUA;Jeremy CORBET;Guillaume SCOFFIE
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;5.0;03:30.45;Centrale;;;;David SNOOK;Jean Paul PONCELET;Millot MATTHIEU;Shahen DALIA;Julien GENTILHOME;Armand MICHAUD;Kevin CASTEL;Louis DALLET;Nicolas METAILLER
2011;Bourges;Championnat de France FFSU;HU8+;1000;FB;6.0;03:31.14;E.S.S.E.C.Cergy;;;;Manu NAUROY;Vincent LEBLEU;Clement BUVIGNIER;Jeremy ASTON;Pierre-Alban PIC;Corentin DECOUTY;Alexandre HUON DE KERMADEC;Anthony FORZANI;Damien SARACENI
2011;Bourges;Championnat de France FFSU;HU8+;1000;FC;1.0;03:33.74;HEC;;;;Jean COLLET;Thibault FELTZ;Quentin BOSNE;Alexandre GALLOU;Hadrien LEFEBVRE;Adrien AIXALA;Matthieu CHAZAL;Michael TOUITI;Simon ALLAIN
2011;Bourges;Championnat de France FFSU;HU8+;1000;FC;2.0;03:41.11;Centrale Nantes;;;;Maxime GROFF;Romain SEBRIER;Jean(Baptiste BAILLEUX;Arthur BERTHIER;Alexandre COCHU;Boris LAM;Loic MARTEL;Yani DRIDER;Joaquim BENARD-TERTRAIS
2011;Bourges;Championnat de France FFSU;HU8+;1000;FC;3.0;04:02.10;Supelec Rennes;;;;Raphael TOMI-TRICOT;Pierre LESTRINGANT;Antoine LEGRAIN;Christophe MORAILLON;Benoit CATHIARD;Fabien CAMPOS;Guillaume COLIN;Guillaume QUESNEY;Timothee VIDY
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;1.0;03:20.60;INSA Lyon;;;;Margaux AGOSTINI;Alizee CHARAUX;Damien GALLET;Guillaume ROCHET;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;2.0;03:25.81;AMM Droit;Canebiere;;;Lea RABINOWITCH;Remi ROUVIERE;Sarah MAUREL;Thibault DISS;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;3.0;03:30.52;Universite Lyon 1-APS;;;;Cecile DUBUISSON;Clementine MEUNIER;Mathieu SAUTEREAU;Arthur MARAIS;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;4.0;03:33.00;A.S.U.B.A.;;;;Clementine LALLOZ;Cindy PELLEGRINO;Cedric PASSERINI;Benoit BELINGHERI;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;5.0;03:34.99;FSSEP Lille 2;;;;Marina DELUGNY;Justine BILLET;Mathieu BODDAERT;Antoine SY;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FA;6.0;03:59.04;UHP Nancy;;;;Celia DANDACHE;Nicolas SCHEID;Sebastien LHENRY;Sophie LEDUC;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FB;1.0;04:06.64;HEI;;;;Alice LEROUX;Cecile MUNINGER;Thomas LANCELOT;Maxime GONDOLFF;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FB;2.0;04:19.17;ASU Angers;;;;Theo BAZOUTAY;Baudouin VAN EECKE;Emilie DE CAMARET;Mathilde BLOUIN;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FB;3.0;04:27.60;E.N.S.T.I.B.Epinal;;;;Ophelie MILLIET;Cecile MARTENOT;Fabien PETTAZZONI;Mathieu ROUZE;;;;;
2011;Bourges;Championnat de France FFSU;MU4x;1000;FB;4.0;04:32.04;Ecole Centrale Marseille;;;;Lea BLANC;Vincent FREY;Raphael DOUSTALY;Clemence GARCIA;;;;;
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;1.0;04:13.40;Collège LãOnard de Vinci Montauroux;;;;Alice RENAUD;Maeva DAVID;Lea COUSIN;Alicia FILIPECKI;;;;;Albin DIAMANTOPOULOS
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;2.0;04:16.64;Collège de la Salle Amiens;;;;Tiffany DELESTRE;Camille MORELLE;Jade DELCENSERIE;Celine PIOTTE;;;;;Lucille MORELLE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;3.0;04:17.67;Collège les Touleuses Cergy;;;;Gina TCHENY;Marie DEKEYSER;Julie LE NEGARET;Victoria GRAVURE;;;;;Audrey CORRE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;4.0;04:20.41;Collège George Sand la Motte Servolex;;;;Audrey BURGUN;Susannah DUNCAN;Lea NOSJEAN;Fanny PARIS;;;;;Lucas CLOCHER
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;5.0;04:28.34;Collège le Chamandier GiãRes;;;;Clarisse PILON;Emma LUNATTI;Coline METZGER;Camille LE BOUQUIN;;;;;Nora DUFRESNE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FA;6.0;04:30.33;Collège Roland Garros Nice;;;;Amina KERKOUR EL MIAD;Estelle MALDONADO;Tricia CALVAN;Sarah M DAHOUARD;;;;;Camille CHORLEY
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;1.0;04:22.63;Collège George Sand la Motte Servolex;;;;Marion FOREST;Charlotte FROISSART;Amandore MARASTONI;Francesca ABBO;;;;;Perrine DELAPORTE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;2.0;04:24.32;Collège LãOnard de Vinci Montauroux;;;;Alizee JOUGLAIN;Charlotte BENABDELHAFID;Camille VERCHER;Pauline MACE;;;;;Julien JUERS
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;3.0;04:26.60;Collège Notre-Dame Pont Ã Mousson;;;;Charlene KOMARSKI;Paolina MANUEL;Eleonore VILMAIN;Myriam BOUCHAFA;;;;;Julia BAZ
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;4.0;04:28.27;Collège le Chamandier GiãRes;;;;Marine FAVIER;Lina DUFRESNE;Lauirie TISSIER-VERSE;Chloe GOUMAS;;;;;Marie BLAIN
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;5.0;04:35.39;Collège Buvignier Verdun;;;;Jade MOLTINI;Clemence- LIPICKI;Oceane BEGUIN;Gaelle BONNERAVE;;;;;Louise DUMONT
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FB;6.0;04:44.40;Collège Anna de Noailles Larche;;;;Mathilde MANET;Charline CHASTAING;Melanie DUPPI;Aurelie POUCH;;;;;Corentin NOUILLE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;1.0;04:19.69;Collège Anna de Noailles Larche;;;;Elodie DUDOGNON;Marie GOURICHON;Melissa BAGNAUD;Cecile CLAUZADE;;;;;Christophe ROSIER
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;2.0;04:24.11;Collège les Touleuses Cergy;;;;Clara VENTRONE;Lena DOS SANTOS;Marine RECMAN;Anais PRUDHOMME;;;;;Naomi PICART
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;3.0;04:26.46;Collège Loquidy Nantes;;;;Valentine CHEVRIER;Helene GERAUD;Manon POISSONNEAU;Laurene LEONET;;;;;Max BOUCARD
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;4.0;04:31.09;Collège Mercier Saint Paul Meulan;;;;Agathe BUYENS;Aimie PITTET;Charlotte MACHICOANE;Emma BELAIR;;;;;Gwenael LAMORT
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;5.0;04:35.05;Collège Carpeaux Valenciennes;;;;Angelique ROTH;Cecile DARDINIER;Clara BOUCHEQUET;Clara MILLECAMPS;;;;;Selim WASTYN
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FC;6.0;04:40.12;Collège Mercier Saint Paul Meulan;;;;Claire BOVE;Carla SILVESTRE;Mae-Line DESCARPENTRIES-MENDY;Juliane ROCHIN;;;;;Lea GAUDIN
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;1.0;04:30.96;Collège FranãOis Mitterrand Soustons;;;;Maylis CAZAUX;Audrey DELOS;Clementine POINSIGNON;Chloe BENOIT;;;;;Nelly CARRERE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;2.0;04:32.80;Collège Notre Dame Reims;;;;Mylene AUGUSTE;Alysee CHEVALLIER;Jessica KOKO;Laurane ZAFIMAHARO;;;;;Claire TARNAUD
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;3.0;04:33.09;Collège Carpeaux Valenciennes;;;;Amandine COPIN;Eva BOUCHEQUET;Guillemette DUJARDIN;Romane AMEZIANE;;;;;Justine BAYARD
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;4.0;04:41.98;Collège de l'Arc Dole;;;;Lea BAUCHE;Pascaline MONTEDURO;Alice LEONNETTI;Gwenaelle LEDUC;;;;;Clarisse OUTREY
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;5.0;04:44.42;Collège Jules Ferry Joinville le Pont;;;;Ninon AUBRY;Audrey SANCHEZ;Camille BANCHET;Capucine POIRRET;;;;;Cassandre HUGUES
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FD;6.0;04:44.47;Collège Pierre Brossolette le Perreux sur Marne;;;;Aurore MAISONDIEU;Nina DRIGNY;Raphaelle ROCHET;Mathilde HELAINE;;;;;Alexis MENEZ
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;1.0;04:43.48;Collège Anatole France AngoulãMe;;;;Melina BAICHE;Anna BOUDIER;Beatrice ANCHER;Loraine REMY;;;;;Hortense GUIGNI
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;2.0;04:44.11;Collège la Madeleine le Mans;;;;Aude BOUCHEVREAU;Chloe PLUMAS;Doriane BEAUNE;Alizee MARCHAND;;;;;Floriane GENES
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;3.0;04:49.40;Collège IrãNe Joliot Curie Aigues Mortes;;;;Marie Sara CONTRERAS;Maeva LUCAS;Kasandra TUTAGATA;Venissa YOUNES;;;;;Manon VALIBOUZE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;4.0;04:50.66;Collège Anatole France Tours;;;;Bianca BESSAS;Camille LE GUELLEC;Lucie PONTONNIER;Lou Salome DUBOIS;;;;;Charlotte JEANNINELLE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;5.0;04:52.13;Collège Gaston Defferre Marseille;;;;Emilie BRETEAU;Stella MORI;Linda SERRA;Maud DUBUISSON;;;;;Delphine DANTRUN
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FE;6.0;05:28.59;Collège la Madeleine le Mans;;;;Valentine MONCHATRE;Nolwenn VERRON;Anais THIRIOT;Anais LEBRETON;;;;;Romane BEUCHER
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FF;1.0;04:56.38;Collège Notre Dame Reims;;;;Agathe DUCREUX;Clara FOURNAISE;Oriane ACKAH MIEZAN;Camille LEMOINE;;;;;Ornellla MARTINUZZI DELPORTE
2011;Bourges;Championnat de France UNSS;CF4Yx;1000;FF;2.0;05:03.21;Collège du Lac de l'Uby Cazaubon;;;;Marion LAJUS;Marjorie LAURON;Gaelle LEMPEREUR;Tacita HOLLOWAY;;;;;Valentine DALIAS
2011;Bourges;Championnat de France UNSS;CG4Yx;1000;FA;1.0;03:42.34;Collège George Sand la Motte Servolex;;;;Maxence DE FREITAS;Kevin ROBBIO;Florent GAMEN;Mickael DUBONNET;;;;;Gabriel KHAIR
2011;Bourges;Championnat de France UNSS;CG4Yx;1000;FA;2.0;03:44.95;Collège de la Salle Amiens;;;;Baptiste BIGOT;Louis MAUPIN;Charles DESWAERTE;Antoine CHRETIEN;;;;;Samuel BASSET
2011;Bourges;Championnat de France UNSS;CG4Yx;1000;FA;3.0;03:46.74;Collège Roland Garros Nice;;;;Kristoffer GALLO;Maxime LECOMTE;Maksym GIODA;Enzo PAINO;;;;;Johanna BOUERI
